"selection1_image","selection1_cost","selection1_cost_url","selection1_name","selection1_name_url"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/b/3/b3ba4c1Mish-MP-1033_1.jpg?rnd=20200526195200&tr=w-256","₹1,794","https://www.nykaafashion.com/mish-organza-black-apple-cut-hem-short-dress-set-of-2/p/12163851","Curves By MISH Organza Black Apple Cut Hem Short Dress (Set of 2)","https://www.nykaafashion.com/mish-organza-black-apple-cut-hem-short-dress-set-of-2/p/12163851"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/8/7/8778446MALR-WD1242_1.jpg?rnd=20200526195200&tr=w-256","₹22,898","https://www.nykaafashion.com/majorelle-apple-mini-dress-yellow/p/9693553","Majorelle","https://www.nykaafashion.com/majorelle-apple-mini-dress-yellow/p/9693553"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/c/2/c211115NHOX-WD445_1.jpg?rnd=20200526195200&tr=w-256","₹40,378","https://www.nykaafashion.com/nicholas-katherine-u-shape-strapless-midi-dress/p/13843514","Nicholas","https://www.nykaafashion.com/nicholas-katherine-u-shape-strapless-midi-dress/p/13843514"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/e/7/e7aced2NK_CRIMS00055130_1.jpg?rnd=20200526195200&tr=w-256","₹850","https://www.nykaafashion.com/crimsoune-club-womens-yellow-checked-dress-in-shirt-shape-with-belt-set-of-2/p/13501578","CRIMSOUNE CLUB","https://www.nykaafashion.com/crimsoune-club-womens-yellow-checked-dress-in-shirt-shape-with-belt-set-of-2/p/13501578"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/1/3/1330a88242312-Multi-Color_1.jpg?rnd=20200526195200&tr=w-256","₹1,499","https://www.nykaafashion.com/the-souled-store-original-solids-apple-mint-women-shirt-dress/p/13847397","Original Solids Apple Mint Women Shirt Dress","https://www.nykaafashion.com/the-souled-store-original-solids-apple-mint-women-shirt-dress/p/13847397"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/b/3/b394b7eSS-183465_1.jpg?rnd=20200526195200&tr=w-256","₹799","https://www.nykaafashion.com/the-souled-store-solid-cool-aqua-melange-apple-cut-pocket-dresses-for-women/p/5665305","Solid Cool Aqua Melange Apple Cut Pocket Dresses for Women","https://www.nykaafashion.com/the-souled-store-solid-cool-aqua-melange-apple-cut-pocket-dresses-for-women/p/5665305"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/1/2/121939appbutt_1_f7e196d6.jpg?rnd=20200526195200&tr=w-256","₹596","https://www.nykaafashion.com/kazo-apple-butter-basic-spaghetti-dress/p/2216697","Apple Butter Basic Spaghetti Dress","https://www.nykaafashion.com/kazo-apple-butter-basic-spaghetti-dress/p/2216697"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/7/3/73ca36cWEST-RRSS57_2.jpg?rnd=20200526195200&tr=w-256","₹4,233","https://www.nykaafashion.com/radharaman-all-shapes-midi-dress/p/10873110","All Shapes Midi Dress","https://www.nykaafashion.com/radharaman-all-shapes-midi-dress/p/10873110"
"https://adn-static1.nykaa.com/nykdesignstudio-images/pub/media/catalog/product/6/4/64cc10eTJ-MK-298-45_1.jpg?rnd=20200526195200&tr=w-256","₹4,566","https://www.nykaafashion.com/tjori-apple-red-cotton-block-printed-draped-flared-dress/p/8535485","Apple Red Cotton Block Printed Draped Flared Dress","https://www.nykaafashion.com/tjori-apple-red-cotton-block-printed-draped-flared-dress/p/8535485"
