"selection1_image","selection1_cost","selection1_cost_url","selection1_name","selection1_name_url"
"https://assets.ajio.com/medias/sys_master/root/20240415/5MCr/661d2eb016fd2c6e6ab15b36/popwings_lavender_floral_a-line_dress.jpg","₹500","https://www.ajio.com/popwings-floral-a-line-dress/p/467253168_lavender","Floral A-line Dress","https://www.ajio.com/popwings-floral-a-line-dress/p/467253168_lavender"
"https://assets.ajio.com/medias/sys_master/root/20240613/T4rt/666c44226f60443f3137becd/popwings_off_white_women_printed_shift_dress.jpg","₹500","https://www.ajio.com/popwings-women-printed-shift-dress/p/467253168_offwhite","Women Printed Shift Dress","https://www.ajio.com/popwings-women-printed-shift-dress/p/467253168_offwhite"
"https://assets.ajio.com/medias/sys_master/root/20230628/TsPl/649b3daaa9b42d15c9f79401/popwings_coffee_printed_bodycon_dress.jpg","₹520","https://www.ajio.com/popwings-printed-bodycon-dress/p/466313425_coffee","Printed Bodycon Dress","https://www.ajio.com/popwings-printed-bodycon-dress/p/466313425_coffee"
"https://assets.ajio.com/medias/sys_master/root/20240422/hDgt/662591bf05ac7d77bb1bab7d/styli_black_women_wrap_knee_length_dress_in_sheath_shape.jpg","₹1,124","https://www.ajio.com/styli-women-wrap-knee-length-dress-in-sheath-shape/p/467266836_black","Women Wrap Knee Length Dress In Sheath Shape","https://www.ajio.com/styli-women-wrap-knee-length-dress-in-sheath-shape/p/467266836_black"
"https://assets.ajio.com/medias/sys_master/root/20240406/z9Ja/6610f86b16fd2c6e6aa1898c/crafiqa_blue_women_floral_print_fit_%26_flare_dress.jpg","₹1,299","https://www.ajio.com/crafiqa-women-floral-print-fit--flare-dress/p/467233240_blue","Women Floral Print Fit & Flare Dress","https://www.ajio.com/crafiqa-women-floral-print-fit--flare-dress/p/467233240_blue"
"https://assets.ajio.com/medias/sys_master/root/20240618/hRXd/66718ccb1d763220fac87352/mamma%27s_maternity_pink_women_fit_and_flare_maternity_dress.jpg","","","Women Fit and Flare Maternity Dress","https://www.ajio.com/mamma-s-maternity-women-fit-and-flare-maternity-dress/p/700100017_pink"
"https://assets.ajio.com/medias/sys_master/root/20240124/ungR/65b0ea638cdf1e0df5cbb96e/addyvero_black_women_bodycon_dress_with_side_slit_.jpg","₹700","https://www.ajio.com/addyvero-women-bodycon-dress-with-side-slit-/p/467003016_black","Women Bodycon Dress with Side Slit","https://www.ajio.com/addyvero-women-bodycon-dress-with-side-slit-/p/467003016_black"
"https://assets.ajio.com/medias/sys_master/root/20230911/ihC8/64ff171cddf7791519c99e59/belavine_aqua_strappy_v-neck_a-line_dress_.jpg","","","Strappy V-Neck A-Line Dress","https://www.ajio.com/belavine-strappy-v-neck-a-line-dress-/p/466555873_aqua"
"https://assets.ajio.com/medias/sys_master/root/20230826/Jq7F/64e92a82ddf77915197ea67f/momtobe_pink_floral_print_fit_%26_flare_dress.jpg","₹1,041","https://www.ajio.com/momtobe-floral-print-fit--flare-dress/p/466499109_pink","Floral Print Fit & Flare Dress","https://www.ajio.com/momtobe-floral-print-fit--flare-dress/p/466499109_pink"
